cod_ibge,municipio_x,fatal_crashes,deaths,truck_fatal,truck_deaths,municipio_y,pop_2022,deaths_per_100k_11yr,truck_share_pct
3550308,SAO PAULO,9477,9792,769,802.0,São Paulo,11451999,85.5,8.1
3509502,CAMPINAS,1542,1615,154,166.0,Campinas,1139047,141.8,10.0
3518800,GUARULHOS,1462,1536,168,183.0,Guarulhos,1291771,118.9,11.5
3552205,SOROCABA,1003,1041,114,131.0,Sorocaba,723682,143.8,11.4
3548708,SAO BERNARDO DO CAMPO,887,946,145,161.0,São Bernardo do Campo,810729,116.7,16.3
3543402,RIBEIRAO PRETO,914,941,87,88.0,Ribeirão Preto,698642,134.7,9.5
3549904,SAO JOSE DOS CAMPOS,826,860,76,81.0,São José dos Campos,697054,123.4,9.2
3525904,JUNDIAI,762,803,126,137.0,Jundiaí,443221,181.2,16.5
3549805,SAO JOSE DO RIO PRETO,656,671,56,58.0,São José do Rio Preto,480393,139.7,8.5
3530607,MOGI DAS CRUZES,621,662,47,54.0,Mogi das Cruzes,451505,146.6,7.6
3538709,PIRACICABA,596,632,76,84.0,Piracicaba,423323,149.3,12.8
3534401,OSASCO,602,623,91,99.0,Osasco,728615,85.5,15.1
3547809,SANTO ANDRE,525,540,36,36.0,Santo André,748919,72.1,6.9
3526902,LIMEIRA,512,536,65,69.0,Limeira,291869,183.6,12.7
3541000,PRAIA GRANDE,500,505,29,30.0,Praia Grande,349935,144.3,5.8
3548500,SANTOS,475,490,105,108.0,Santos,418608,117.1,22.1
3506003,BAURU,446,466,50,53.0,Bauru,379146,122.9,11.2
3551009,SAO VICENTE,441,459,36,40.0,São Vicente,329911,139.1,8.2
3516200,FRANCA,434,452,28,31.0,Franca,352536,128.2,6.5
3554102,TAUBATE,432,451,48,53.0,Taubaté,310739,145.1,11.1
3523107,ITAQUAQUECETUBA,392,416,37,44.0,Itaquaquecetuba,369275,112.7,9.4
3523909,ITU,390,413,65,69.0,Itu,168240,245.5,16.7
3505708,BARUERI,380,395,62,67.0,Barueri,316473,124.8,16.3
3503208,ARARAQUARA,357,390,60,65.0,Araraquara,242228,161.0,16.8
3518701,GUARUJA,370,385,42,46.0,Guarujá,287634,133.9,11.4
3513801,DIADEMA,370,381,35,35.0,Diadema,393237,96.9,9.5
3507605,BRAGANCA PAULISTA,349,370,53,57.0,Bragança Paulista,176811,209.3,15.2
3513009,COTIA,352,367,32,36.0,Cotia,274413,133.7,9.1
3524402,JACAREI,340,364,54,59.0,Jacareí,240275,151.5,15.9
3552403,SUMARE,333,346,45,48.0,Sumaré,279545,123.8,13.5
3548906,SAO CARLOS,324,344,49,58.0,São Carlos,254857,135.0,15.1
3538006,PINDAMONHANGABA,304,340,60,68.0,Pindamonhangaba,165428,205.5,19.7
3522307,ITAPETININGA,302,331,41,47.0,Itapetininga,157790,209.8,13.6
3529005,MARILIA,308,326,71,78.0,Marília,237627,137.2,23.1
3504107,ATIBAIA,298,312,70,73.0,Atibaia,158647,196.7,23.5
3502804,ARACATUBA,293,307,41,47.0,Araçatuba,200124,153.4,14.0
3520509,INDAIATUBA,287,302,26,28.0,Indaiatuba,255748,118.1,9.1
3513504,CUBATAO,290,300,80,84.0,Cubatão,112476,266.7,27.6
3543907,RIO CLARO,284,296,42,42.0,Rio Claro,201418,147.0,14.8
3529401,MAUA,276,286,36,38.0,Mauá,418261,68.4,13.0
3510609,CARAPICUIBA,270,283,18,18.0,Carapicuíba,386984,73.1,6.7
3501608,AMERICANA,270,282,44,45.0,Americana,237240,118.9,16.3
3522208,ITAPECERICA DA SERRA,261,279,47,59.0,Itapecerica da Serra,158522,176.0,18.0
3552502,SUZANO,263,278,28,30.0,Suzano,307429,90.4,10.6
3541406,PRESIDENTE PRUDENTE,271,276,29,30.0,Presidente Prudente,225668,122.3,10.7
3530706,MOGI GUACU,257,271,46,54.0,Mogi Guaçu,153658,176.4,17.9
3515004,EMBU DAS ARTES,259,269,45,48.0,Embu das Artes,250691,107.3,17.4
3522109,ITANHAEM,250,257,20,21.0,Itanhaém,112476,228.5,8.0
3505500,BARRETOS,231,250,48,58.0,Barretos,122485,204.1,20.8
3525300,JAU,226,245,40,51.0,Jaú,133497,183.5,17.7
